perplex |  v. 使...困惑, 使...更复杂, 使...为难
verbal |  adj. 动词的,口头的,用言辞的,用文字的 // n. 动名词
oven |  n. 烤炉, 烤箱
regardless |  adj. 不注意的, 粗心的 // adv. 不顾
spine |  n. 背骨, 脊柱, 尖刺
bow |  n. 弓,船头,鞠躬，蝴蝶结，两手准备 // vi. 鞠躬, 成弓形，弯腰, 首次上演，屈服，听从，尊重 // vt. 重压，弯曲，
notable |  adj. 显著的, 著名的 // n. 名人
defeat |  n. 败北,失败 // vt. 击败
thunder |  n. 雷电,雷声 // vt.& vi. 打雷,轰隆地响,大声喊出
disposal |  n. 处理,消除,销毁,处置 // n. 弃菜碾碎器
extraordinary |  adj. 非凡的,特别的,特派的
bright |  adj. 明亮的,阳光的,生动的,聪明的 // adv. 亮 // n. 亮色
tide |  n. 潮,趋势,潮流 // vt. 使...随潮漂流 // vi. 涌动
retail |  n. 零售 // vt. 零售 // adj. 零售的 // adv. 以零售形式
component |  n. 元件, 组件, 成份 // adj. 组成的, 构成的
beware |  v. 小心, 谨防
dramatic |  adj. 戏剧性的,引人注目的,给人深刻印象的
encyclopedia |  n. 百科全书
repel |  v. 逐退, 使...厌恶, 反驳
detect |  vt. 发现,探测信息,侦查 // vi. 当侦探
necessitate |  v. 迫使, 使...成为必需, 需要
dwelling |  n. 住处；寓所 // v. 居住（dwell的现在分词）
procession |  n.队伍，行列； 一列，一排； 列队行进
replace |  vt. 取代,更换
grain |  n. 谷物, 谷类, 颗粒, 细粒, 纹理 // vt. 用谷物喂养, 形成颗粒
wet |  adj. 湿的,雨天的 // n. 潮气,雨天 // vt.& vi. (使)弄湿
hemisphere |  n. 半球
change |  n. 变化, 零钱 // v. 改变
stable |  adj. 稳定的；牢固的；坚定的 // n. 马厩；牛棚 // vi. 被关在马厩 // vt. 赶入马房
look |  n. 看, 神色, 样子, 脸色 // vi. 看, 注意, 朝着, 好象, 显得 // vt. 打量, 注视, 用眼神或脸色表示, 期待
membership |  n. 成员资格,会员全体，从属关系
apply |  vt. 应用, 申请; 涂 // vt. 使专心从事 // vi.申请; 有关联
cut |  n. 切口,割伤,降低,份额,删节,割下的一块肉 // vt. 切割,减少,停止,修剪 // vi. 切割,快速移动 // [计算机] 剪掉
esteem |  n. 尊敬 // vt. 认为,尊敬
impression |  n. 印象, 效果
recycle |  vt. 使再循环,再利用,再制 // vi. 循环 // n. 再循环
installation |  n. 安装,装置, 军事驻地
atom |  n. 原子
cheque |  n. 支票
abdomen |  n. 腹部
sour |  adj. 酸的,腐坏的,抑沉的,刻薄的 // vt. &vi. 变酸,变乖戾,腐坏
suppress |  vt. 镇压,使...止住,禁止
evolution |  n. 进化, 发展, 进展
wind |  n. 风,气流,风向,管乐器,动向,潮流,空想, 卷绕,一圈 // vt. 上发条,缠绕,蜿蜒,使...喘气,使...通风,吹奏 // vi. 卷曲, 吹响号角, 迂回
hose |  n. 水管, 橡皮软管, (复数)长统袜, 男士紧身裤 // vt. 用水管冲洗
actual |  adj. 实际的,真实的
diverse |  adj. 不同的,相异的,多种多样的
sort |  n. 种类,样子,态度 // v. 分类,整理,排序 // n.[计算机] DOS命令 : 在字符型文件中进行数据排序, 或者将DOS命令的输出进行排序
village |  n. 村庄
longitude |  n. 经度
fish |  n. 鱼，鱼肉 // v. 钓鱼，捕鱼
next |  adj.紧接在后的； 次于的； 贴近的； 紧邻的 // adv.接下去； 然后； 居后地； 依次的 // n.下一位； 下一个 // prep.靠近； 居于…之后； 在…的隔壁
appreciate |  vt. 欣赏,感激,赏识 // vt. 领会，充分意识 // vi. 增值
boss |  n. 老板, 上司 // v. 指挥, 控制
residence |  n. 住处, 住宅, 居住
soon |  adv. 不久, 很快
keep |  vt.保持； 保留； 遵守； 阻止 // vi.（食品）保持新； 保持健康 // n.保持，保养； 供养，抚养； 生活，生计； 饲料；牧草
novelty |  n. 新奇,新奇的事物,小装饰
liability |  n. 责任, 可能性，债务, 不利因素
illustration |  n. 插图,例证,说明,图解
issue |  n. 问题；流出；期号；发行物 // vt. 发行，发布；发给；放出，排出 // vi. 发行；流出；造成…结果；传下
buffet |  n. 打击, 饮食柜台, 自助餐 // vt. 打击, 连续猛击 // adj. 受到非正式接待的(如同冷餐会般随意的)
rod |  n. 杆,戒鞭,测量杆,视网膜,杆状菌
portion |  n. 部分,份,命运 // v. 将...分配,分配
accordance |  n. 符合,一致
horse |  n. 马 // vt. 骑马 // adj. 马的
improve |  vt. 改进,利用,(提高)价值 // vi. 改进
massacre |  n. 大屠杀 // v. 大屠杀
dessert |  n. 甜食
edition |  n. 版, 版本
remind |  v. 提醒 // vt. 使想起,提醒
napkin |  n. 餐巾,一小块布或毛巾,卫生巾
pour |  n. 流出,倾泻,骤雨 // vt. &vi. 倒,倾泻,蜂涌而来
acrobat |  n. 杂技演员，见风使舵的人
special |  n. 专辑,专车,特色菜,特价,特刊 // adj. 特别的,专门的
vessel |  n. 船,容器,脉管,血管,化身
twinkle |  n. 闪烁,闪耀,眨眼,瞬息 // v. 闪烁,使...闪耀,眨眼，迅速移动
riddle |  n. 谜,谜语 // vt. 解谜,出谜题,充满,打洞,筛选 // vi. 出谜题
melon |  n. 甜瓜
tourist |  adj. 旅游的 // n. 旅游者,观光者
habitat |  n. (动植物的)产地,栖息地
zip |  n. 拉链,活力,飞射声,零,邮政编码 // vi. 活跃地或迅速地沿某方向运动,飞射,拉拉链 // vt. 拉拉链,注入活力,快速推进
launch |  n.&amp;v. 下水,发射,开始,升天,汽艇
torment |  n. 苦痛, 拷问 // v. 使苦恼, 拷问
tobacco |  n. 烟草
annoy |  vt. &vi. 使...苦恼,骚扰, 使生气
brace |  n. 支柱,曲柄,大括号 // vt. 绷紧,顶住,（为困难或坏事）做准备,使更为坚固 // vi. 振作精神,做好准备
await |  vt. 等候,准备...以待,储存 // vi. 等待
suspend |  v. 推迟,悬(浮),挂,暂停,取消 // vi. 吊,悬浮 // vt. 悬,挂,吊,暂停,中止
bankrupt |  adj. 破产的,贫穷的,道德败坏的,枯竭的 // n. 破产者,无知的人 // vt. 使破产
tremendous |  adj. 巨大的, 惊人的
little |  adj. 小的 // adv. 毫不，少量地 // n. 几乎没有（指数量或程度等）
pool |  n. 水塘(池),游泳池,撞球 // vi. 形成池塘 // vt. 集中,积累
terminate |  adj. 有结尾的,有限的 // vt. 结束,终止,满期 // vi. 达到终点
elder |  adj. 年龄较大的, 年长的 // n. 长者, 长辈
career |  n. 生涯, 职业, 事业 // vi. 猛冲, 飞跑 // vt. 在...中急行
hair |  n. 头发, 毛发, 毛织物, 极少量, 极短距离
straw |  n. 稻草, 麦杆, 吸管 // adj. 用稻草做的, 用来作稻草的, 麦杆色的, 无价值的, 象稻草人的, 非正式民意测验所发现的
impulse |  n. 冲动, 驱动力, 倾向, 心血来潮 // vt. 推动
coast |  n. 海岸,海滨,滑坡 // vt. 沿海岸而行 // vi. 下滑
boat |  n. 船, 船型物体 // vt. 放于船上 // vi. 划船
continue |  vt. &vi. 继续, 连续, 维持
super |  adj. 超级的,极好的 // n. 警官,管理人 // adv. 特别,格外
head |  n. 头脑,领袖,冷静，硬币的正面，顶端，高潮 // vt. &vi. 为首,朝向,前进，超过，起源 // adj. 首要的，前面的
opt |  vi. 选择,决定做某事
transform |  vt. 转换,变形 // vi. 改变 // n. 变形
flash |  n. 闪光,闪现,闪烁物,花哨,一瞬间,电脑动画技术 // vi. 闪现,闪烁 // vt. 传送,用光联络,流露出 // adj. 花哨的,炫耀的,昙花一现的
bribe |  n. 贿赂,贿赂物 // vt.& vi. 贿赂
mix |  n. 混合(物),融合 // vt. &vi. 混合,掺入,合成,交往,联系 // [计算机] 混合
fuel |  n. 燃料,木炭 // vt. 供以燃料 // vi. 加燃料
full |  adj.满的，装满的； 完全的，完整的； 丰富的； 详尽的 // adv.极其，十分； 充分地，完全地； 整整； 直接地 // n.充分，完全； 全部； 完整； 极盛时 // v.把衣服缝得宽大； 把裙子缝出皱褶； [印]蒸洗，漂洗
condense |  v. 浓缩, 摘要, 缩短
hostage |  n. 人质
drain |  n. 下水道,排水沟,消耗 // vt. 耗尽,排出,排干,喝光 // vi. 变干,排出,排水
value |  n. 价值, 重要性, 价格, (pl)价值观 // vt. 评价, 估价, 重视
competitive |  adj. 竞争的, 比赛的
seaside |  adj. 海边(的), 海滨(的) // n. 海边
sting |  n. 刺痛；讽刺，刺激；刺毛 // vt. 刺；驱使；使…苦恼；使…疼痛 // vi. 刺痛；被刺痛；感到剧痛
exhibition |  n. 展览,展览会
already |  adv. 已经
bear |  n. 熊 // v. 忍受,负荷 // v. 结果实,生子女
law |  n. 法规,规律,起诉,法则 // vi. 起诉
notorious |  adj. 臭名昭著的
wonder |  n. 惊奇；奇迹；惊愕 // vi. 怀疑；想知道；惊讶 // vt. 怀疑；惊奇；对…感到惊讶 // adj. 奇妙的；非凡的
credential |  n. 凭证 // adj. 证明可信任的 // v. 授以证书
marathon |  n. 马拉松, 耐力的考验
accountant |  n. 会计人员
baggage |  n. 行李
specialist |  n. 专家
father |  n. 父亲,鼻祖 // vt. 作为父亲生育子女 // vi. 像父亲般照顾
undergo |  vt. 遭受,经历,忍受
mood |  n. 心情, 情绪, 语气
orientation |  n. 信仰,趋向,定位,适应,情况介绍 // [计算机] 定向
error |  n. 错误, 过失
repetition |  n. 重复,反复
battle |  n. 战斗,争论 // vt. &vi. 与...作战;与...斗争
balloon |  n. 气球 // vt. 使膨胀 // vi. 如气球般膨胀,激增 // adj. 气球状的
awake |  adj. 醒着的,警惕的 // vt. 唤醒,唤起,激发 // vi. 醒来,恢复意识
debt |  n. 债务, 义务, 负债状态, 罪, 过失
home |  adj. 家(乡)的 // adv. 回家, 在家, 正确的方向 // n. 家, 住所, 国内的, 养老院 // vt. 提供住处 // vi. 回家, 移向
rim |  n. 边,轮缘,框 // vt. 镶边,为...镶边 // vi. 形成边缘
tight |  adj. 紧的, 严厉的,密集的,紧身的,拮据的 // adv. 紧紧地,牢固地, 迅速地
germ |  n. 微生物, 细菌
like |  adj. 相似的,同样的 // vt. &vi. 喜欢,愿意,想 // prep. 像,如同 // n. 爱好,类似的人（或物） // adv. 大概,和…一样 // conj. 如同
commodity |  n. 商品, 日用品
kindness |  n. 仁慈, 好意
plea |  n. 请求,恳求 // v. 借口,恳求,请求
early |  adv.&amp;adj. 早
outer |  adj. 外部的, 外面的
vocal |  adj. 声音的,口述的,歌唱的 // n. 元音,声乐作品
wear |  n. 穿著,磨损,耐久性 vt. 穿著,用旧,耗损,呈现 vi. 磨损, 变旧
approach |  n. 接近; 途径, 方法 // v. 靠近, 接近, 动手处理
fun |  n. 乐趣,玩笑,有趣的人或事物 // vi. 开玩笑 // adj. 充满乐趣的,令人愉悦的
experiment |  n. 实验,试验,尝试 // vi. 做实验,尝试
over |  prep.（表示方向）越过； （部份或全部覆盖）在…上面； 由于； （表示论及）关于 // adv.结束； 再； （倒）下； 从一边至另一边 // adj.过去的； 外面的； 在上的； 上级的 // n.额外； 剩余； 剩余（或多余）的量； 剩余物
outline |  n. 大纲,轮廓,概要,略图,素描 // vt. 描画轮廓,描述要点
bang |  n. 重击,突然巨响,刘海 // vt. 重击,大声敲,剪成刘海 // vi. 大声敲击,发出巨响 // adv. 正好地, 准确地
satire |  n. 讽刺文, 讽刺
influence |  vt. 影响, 感化 // n. 影响力, 势力; 影响, 权势 // n. 有影响的人(或事物)
rough |  adj.粗糙的，崎岖不平的； 粗鲁的； 狂暴的，汹涌的； 未经加工的 // vt.粗暴地对待； 使粗糙； 草拟 // n.粗糙的部分； 艰难，苦难； （高尔夫球场的）深草区 // adv.粗暴地 // vi.举止粗野
pest |  n. 害虫
shampoo |  n. 洗发剂，洗涤剂，洗头 // vt. 洗（头发，地毯等）
steady |  adj. 稳定的,稳固的,沉稳的 // adv. 平稳地,稳固地 // n. 固定的事物 // vi. &vt. (使)稳固,(使)稳定
strength |  n. 力量,力气,长处,强度
ceiling |  n. 天花板,上限
genetic |  adj. 基因的, 遗传的, 起源的
tape |  n. 录像带, 录音带, 磁带, 胶带 // vt. 用带子捆起, 给...录音 // vi. 录音
cock |  n. 公鸡，雄禽，（男子间友好的互称用语）老兄，阴茎 // vt. 立起，竖起 // vi. 昂首阔步地走
maths |  n. 数学 // =mathematics（英）
thing |  n. 东西, 事情
rust |  n. 铁,锈 // vi. 生锈,变成红棕色 // vt. 使...生锈,损害
vary |  vt. 改变,使多样化 // vi. 变化,违背
menace |  n. 威胁, 胁迫 // v. 威吓, 胁迫
uproar |  n. 喧嚣,骚动
length |  n. 长度,篇幅
firm |  n. 商行,公司 // vt. (使)变得坚实,定案 // vi. 变硬,恢复 // adj. 坚定的,坚固的,结实的 // adv. 稳固地,坚定地
opportunity |  n. 机会, 时机
comet |  n. 彗星
tomorrow |  adv. 明天 // n. 明天,将来
someone |  pron. 某人, 有人
himself |  pron. 他自己
temperature |  n. 温度,发烧
